tags: sogang sogang3 sogang3a sogang3a7
업무 [명사]|duty, business [명사]
일반 업무 [명사]|general duties [명사]
교육 [명사]|education, training [명사]
마케팅 [명사]|marketing [명사]
홍보 [명사]|promotion an attempt to make a product or event popular [명사]
프로젝트 [명사]|a project [명사]
담당하다 [동사]|to be in charge (of) [동사]
맡다 [동사]|to be in charge (of) [동사]
인정받다 [동사]|to win recognition, to be acknowledged [동사]
만족하다 [동사/형용사]|to be satisfied [동사/형용사]
보람을 느끼다 [동사]|to feel the value of (something) [동사]
구인 광고 [명사]|a job advertisement (want ad) [명사]
경험자 [명사]|an experienced person [명사]
아르바이트생 [명사]|a working student, part-time employee [명사]
인턴사원 [명사]|an intern [명사]
정식 사원 [명사]|a regular employee [명사]
모집하다 [동사]|to recruit [동사]
사람을 뽑다 [동사]|to select somebody [동사]
(-에) 지원하다 [동사]|to apply (for) [동사]
(-이/가) (-으로) 채용되다 [동사]|to be employed [동사]
경쟁률이 높다 [기타/표현]|to be highly competitive [기타/표현]
