tags: sogang sogang3 sogang3a sogang3a3 dialogues
보증금 [명사]|deposit [명사]
부동산 [명사]|a real estate agency [명사]
부동산 중개인 [명사]|a real estate agent [명사]
쇼핑센터 [명사]|a shopping center [명사]
월세 [명사]|monthly rent [명사]
전세 [명사]|lease of a house on a deposit basis [명사]
주택가 [명사]|a residential area [명사]
집주인 [명사]|owner of the house [명사]
뜨겁다 [형용사]|to be hot [형용사]
주변 환경 [기타/표현]|nearby amenities [기타/표현]
공기가 맑다 [기타/표현]|The air is fresh [기타/표현]
전망이 좋다 [기타/표현]|to have a good view [기타/표현]
어떻게 해야 할지 잘 모르겠어요 [기타/표현]|I don’t know what to do [기타/표현]
