tags: sogang sogang3 sogang3b sogang3b3 reading-speaking
건강식품 [명사]|health food [명사]
달리기 [명사]|running [명사]
마찬가지 [명사]|the same [명사]
문화생활 [명사]|cultural life [명사]
사우나 [명사]|sauna [명사]
수 [명사]|the number [명사]
수다 [명사]|a chat [명사]
술자리 [명사]|a meeting for drinking [명사]
영양제 [명사]|nutrition supplement [명사]
육체 [명사]|the body [명사]
인삼 [명사]|ginseng [명사]
전부 [명사]|everything [명사]
최근 [명사]|most recent [명사]
한약 [명사]|oriental medicine [명사]
흡연 [명사]|smoking [명사]
복용하다 [동사]|to take medicine [동사]
조사하다 [동사]|to research [동사]
아깝다 [형용사]|to feel that something is wasted [형용사]
돈이 아깝다 [형용사]|to feel that money is wasted [형용사]
정신 건강 [기타/표현]|mental health [기타/표현]
스트레스가 쌓이다 [기타/표현]|to have stress pile up [기타/표현]
스트레스를 풀다 [기타/표현]|to relieve stress [기타/표현]
스트레스 해소 방법 [기타/표현]|how to relieve stress [기타/표현]
인기를 끌다 [기타/표현]|to gain popularity [기타/표현]
