tags: sogang sogang2 sogang2a sogang2a1 reference
대화|dialogue
개인 정보|personal information
교환|exchange
과제|task
자기소개|self-introduction
과|unit
칠판|blackboard
너무|too <adj>, usually conveys negative meaning
어둡다|to be dark
불을 켜다|to turn on a light
이용하다|to use
지갑|wallet/purse
글자|letter/character
설명하다|to explain
넣다|to put in
영국|england
독일|germany
배우|actor
스무고개|twenty questions (game)
가수|singer
처음|(the) first/for the first time
인사하다|to greet/say hello
상대방|the person being spoken to (in a conversation)
잘못 쓰다|to misspell
활동|activity
재미교포|korean americans
강사|lecturer/instructor
기자|journalist/reporter
동아시아학|east asian studies
태권도|taekwondo
맞다|to be correct
틀리다|to be incorrect
묻다|to ask
취미|hobby
계획|plan
소리 내다|to make a sound/speak out loud
내용|contents
요약하다|to summarise
바구니|basket
꺼내다|to take/pick out
알아맞히다|to guess/find out
본문|the main text
자기소개서|self-introduction letter
시험을 보다|to take a test
표시하다|to mark/tick
빈칸을 채우다|to fill in the blank
따라하다|to follow/repeat
요약문|summary
완성하다|to complete
역할극|role play
동사|verb
형용사|adjective
명사|noun
부사|adverb
기타|etcetera
표현|expression
문법|grammar
참고|reference
